,train,val,test
0,normal_003,normal_124,normal_062
1,test_003,test_125,test_062
2,normal_006,normal_028,normal_087
3,test_006,test_028,test_086
4,normal_007,normal_144,normal_005
5,test_007,normal_157,test_005
6,normal_012,normal_019,normal_119
7,test_012,test_019,test_119
8,normal_014,normal_009,normal_107
9,test_014,test_009,test_106
10,normal_017,normal_059,normal_158
11,test_017,test_059,normal_053
12,normal_018,normal_120,test_053
13,test_018,test_120,normal_015
14,normal_020,normal_067,test_015
15,test_020,test_067,normal_126
16,normal_022,normal_102,test_127
17,test_022,test_101,normal_152
18,normal_023,normal_090,normal_024
19,test_023,test_089,test_024
20,normal_025,tumor_046,tumor_106
21,test_025,normal_111,normal_064
22,normal_031,test_110,test_064
23,test_031,tumor_050,tumor_057
24,normal_032,tumor_004,tumor_103
25,test_032,normal_074,tumor_007
26,normal_034,test_074,normal_027
27,test_034,normal_011,test_027
28,normal_035,test_011,tumor_027
29,test_035,tumor_083,tumor_009
30,normal_036,tumor_077,tumor_085
31,test_036,tumor_044,tumor_089
32,normal_037,tumor_107,tumor_036
33,test_037,normal_033,tumor_093
34,normal_039,test_033,tumor_059
35,test_039,normal_106,normal_061
36,normal_041,test_105,test_061
37,test_041,normal_004,tumor_082
38,normal_042,test_004,normal_051
39,test_042,tumor_010,test_051
40,normal_043,normal_095,
41,test_043,test_094,
42,normal_044,tumor_058,
43,test_044,,
44,normal_045,,
45,test_045,,
46,normal_047,,
47,test_047,,
48,normal_049,,
49,normal_050,,
50,test_050,,
51,normal_054,,
52,test_054,,
53,normal_055,,
54,test_055,,
55,normal_056,,
56,test_056,,
57,normal_057,,
58,test_057,,
59,normal_058,,
60,test_058,,
61,normal_060,,
62,test_060,,
63,normal_063,,
64,test_063,,
65,normal_070,,
66,test_070,,
67,normal_072,,
68,test_072,,
69,normal_076,,
70,test_076,,
71,normal_077,,
72,test_077,,
73,normal_078,,
74,test_078,,
75,normal_080,,
76,test_080,,
77,normal_081,,
78,test_081,,
79,normal_083,,
80,test_083,,
81,normal_085,,
82,test_085,,
83,normal_088,,
84,test_087,,
85,normal_089,,
86,test_088,,
87,normal_092,,
88,test_091,,
89,normal_094,,
90,test_093,,
91,normal_096,,
92,test_095,,
93,normal_097,,
94,test_096,,
95,normal_099,,
96,test_098,,
97,normal_101,,
98,test_100,,
99,normal_104,,
100,test_103,,
101,normal_108,,
102,test_107,,
103,normal_110,,
104,test_109,,
105,normal_112,,
106,test_111,,
107,normal_113,,
108,test_112,,
109,normal_115,,
110,test_115,,
111,normal_118,,
112,test_118,,
113,normal_123,,
114,test_123,,
115,normal_125,,
116,test_126,,
117,normal_127,,
118,test_128,,
119,normal_128,,
120,test_129,,
121,normal_129,,
122,test_130,,
123,normal_130,,
124,normal_131,,
125,normal_132,,
126,normal_133,,
127,normal_134,,
128,normal_135,,
129,normal_136,,
130,normal_137,,
131,normal_138,,
132,normal_139,,
133,normal_140,,
134,normal_141,,
135,normal_142,,
136,normal_143,,
137,normal_145,,
138,normal_146,,
139,normal_147,,
140,normal_148,,
141,normal_149,,
142,normal_150,,
143,normal_151,,
144,normal_153,,
145,normal_154,,
146,normal_155,,
147,normal_156,,
148,normal_159,,
149,normal_160,,
150,normal_001,,
