,train,val,test
0,BRACS_745,BRACS_1633,BRACS_1890
1,BRACS_760,BRACS_1893,BRACS_1003710
2,BRACS_761,BRACS_1320,BRACS_1851
3,BRACS_1240,BRACS_1870,BRACS_1852
4,BRACS_1242,BRACS_1772,BRACS_1259
5,BRACS_1248,BRACS_1241,BRACS_1327
6,BRACS_1249,BRACS_1274,BRACS_1940
7,BRACS_1251,BRACS_1003668,BRACS_1901
8,BRACS_1253,BRACS_1603,BRACS_3272
9,BRACS_1255,BRACS_3270,BRACS_1843
10,BRACS_1273,BRACS_1664,BRACS_1989
11,BRACS_1318,BRACS_1960,BRACS_3336
12,BRACS_1321,BRACS_1964,BRACS_758
13,BRACS_1322,BRACS_1948,BRACS_3283
14,BRACS_1324,BRACS_1406,BRACS_1829
15,BRACS_1325,BRACS_1393,BRACS_1654
16,BRACS_1329,BRACS_1003727,BRACS_1831
17,BRACS_1336,BRACS_1638,BRACS_1477
18,BRACS_1338,BRACS_1413,BRACS_3308
19,BRACS_1370,BRACS_1289,BRACS_1003698
20,BRACS_1408,BRACS_1003721,BRACS_3294
21,BRACS_1480,BRACS_286,BRACS_1003722
22,BRACS_1483,BRACS_292,BRACS_748
23,BRACS_1485,BRACS_295,BRACS_1910
24,BRACS_1493,BRACS_1395,BRACS_740
25,BRACS_1508,BRACS_298,BRACS_1587
26,BRACS_1511,BRACS_1830,BRACS_1232
27,BRACS_1582,BRACS_1238,BRACS_1367
28,BRACS_1583,BRACS_1602,BRACS_1489
29,BRACS_1605,BRACS_762,BRACS_1816
30,BRACS_1612,BRACS_1874,BRACS_1509
31,BRACS_1620,BRACS_1588,BRACS_1945
32,BRACS_1631,BRACS_737,BRACS_1888
33,BRACS_1634,BRACS_1641,BRACS_1981
34,BRACS_1640,BRACS_1979,BRACS_1386
35,BRACS_1655,BRACS_1585,BRACS_1296
36,BRACS_1656,BRACS_1601,BRACS_1632
37,BRACS_1659,BRACS_1861,BRACS_1938
38,BRACS_1660,BRACS_1271,BRACS_1228
39,BRACS_1661,BRACS_1892,BRACS_1860
40,BRACS_1665,BRACS_1877,BRACS_1953
41,BRACS_1666,BRACS_1003694,BRACS_1913
42,BRACS_1668,BRACS_1943,BRACS_1941
43,BRACS_1669,BRACS_1003693,BRACS_1778
44,BRACS_1779,BRACS_1838,BRACS_1775
45,BRACS_1784,BRACS_1319,BRACS_1871
46,BRACS_1796,BRACS_1295,BRACS_1791
47,BRACS_1832,BRACS_1667,BRACS_1787
48,BRACS_1833,BRACS_1792,BRACS_3284
49,BRACS_1839,BRACS_1917,BRACS_1780
50,BRACS_1841,BRACS_1834,BRACS_1896
51,BRACS_1866,BRACS_1337,BRACS_2001
52,BRACS_1869,BRACS_1997,BRACS_3273
53,BRACS_1879,,
54,BRACS_1880,,
55,BRACS_1900,,
56,BRACS_1902,,
57,BRACS_1904,,
58,BRACS_1905,,
59,BRACS_1924,,
60,BRACS_1961,,
61,BRACS_1962,,
62,BRACS_1965,,
63,BRACS_1966,,
64,BRACS_1967,,
65,BRACS_1972,,
66,BRACS_1986,,
67,BRACS_1988,,
68,BRACS_1994,,
69,BRACS_2000,,
70,BRACS_2002,,
71,BRACS_2004,,
72,BRACS_3268,,
73,BRACS_3269,,
74,BRACS_3271,,
75,BRACS_3274,,
76,BRACS_3276,,
77,BRACS_3279,,
78,BRACS_3281,,
79,BRACS_3309,,
80,BRACS_3311,,
81,BRACS_3312,,
82,BRACS_3334,,
83,BRACS_3335,,
84,BRACS_1003658,,
85,BRACS_1003659,,
86,BRACS_1003669,,
87,BRACS_1003671,,
88,BRACS_1003672,,
89,BRACS_1003686,,
90,BRACS_1003700,,
91,BRACS_1003706,,
92,BRACS_1003724,,
93,BRACS_1003725,,
94,BRACS_1003730,,
95,BRACS_1003734,,
96,BRACS_264,,
97,BRACS_1330,,
98,BRACS_1412,,
99,BRACS_1842,,
100,BRACS_1845,,
101,BRACS_1846,,
102,BRACS_1847,,
103,BRACS_1850,,
104,BRACS_1906,,
105,BRACS_1942,,
106,BRACS_3324,,
107,BRACS_1275,,
108,BRACS_1276,,
109,BRACS_1423,,
110,BRACS_1424,,
111,BRACS_1608,,
112,BRACS_1980,,
113,BRACS_3295,,
114,BRACS_3296,,
115,BRACS_3298,,
116,BRACS_3337,,
117,BRACS_280,,
118,BRACS_281,,
119,BRACS_283,,
120,BRACS_288,,
121,BRACS_291,,
122,BRACS_297,,
123,BRACS_311,,
124,BRACS_734,,
125,BRACS_747,,
126,BRACS_749,,
127,BRACS_750,,
128,BRACS_752,,
129,BRACS_753,,
130,BRACS_754,,
131,BRACS_756,,
132,BRACS_757,,
133,BRACS_759,,
134,BRACS_773,,
135,BRACS_1231,,
136,BRACS_1233,,
137,BRACS_1235,,
138,BRACS_1263,,
139,BRACS_1265,,
140,BRACS_1272,,
141,BRACS_1277,,
142,BRACS_1279,,
143,BRACS_1287,,
144,BRACS_1288,,
145,BRACS_1292,,
146,BRACS_1293,,
147,BRACS_1356,,
148,BRACS_1357,,
149,BRACS_1358,,
150,BRACS_1360,,
151,BRACS_1374,,
152,BRACS_1407,,
153,BRACS_1478,,
154,BRACS_1484,,
155,BRACS_1487,,
156,BRACS_1516,,
157,BRACS_1635,,
158,BRACS_1636,,
159,BRACS_1637,,
160,BRACS_1639,,
161,BRACS_1643,,
162,BRACS_1646,,
163,BRACS_1647,,
164,BRACS_1648,,
165,BRACS_1649,,
166,BRACS_1650,,
167,BRACS_1652,,
168,BRACS_1810,,
169,BRACS_1812,,
170,BRACS_1827,,
171,BRACS_1828,,
172,BRACS_1875,,
173,BRACS_1984,,
174,BRACS_3289,,
175,BRACS_3290,,
176,BRACS_3291,,
177,BRACS_3293,,
178,BRACS_3305,,
179,BRACS_3314,,
180,BRACS_3315,,
181,BRACS_3316,,
182,BRACS_3319,,
183,BRACS_3320,,
184,BRACS_3321,,
185,BRACS_1003667,,
186,BRACS_1003670,,
187,BRACS_1003673,,
188,BRACS_1003677,,
189,BRACS_1003678,,
190,BRACS_1003684,,
191,BRACS_1003692,,
192,BRACS_1003699,,
193,BRACS_1003703,,
194,BRACS_1003708,,
195,BRACS_1003709,,
196,BRACS_1003723,,
197,BRACS_1003731,,
198,BRACS_1003732,,
199,BRACS_301,,
200,BRACS_305,,
201,BRACS_310,,
202,BRACS_1284,,
203,BRACS_1286,,
204,BRACS_1411,,
205,BRACS_1414,,
206,BRACS_1578,,
207,BRACS_1580,,
208,BRACS_1590,,
209,BRACS_1817,,
210,BRACS_1823,,
211,BRACS_1826,,
212,BRACS_1908,,
213,BRACS_3323,,
214,BRACS_738,,
215,BRACS_739,,
216,BRACS_1361,,
217,BRACS_1362,,
218,BRACS_1368,,
219,BRACS_1392,,
220,BRACS_1394,,
221,BRACS_1798,,
222,BRACS_3301,,
223,BRACS_755,,
224,BRACS_1247,,
225,BRACS_1369,,
226,BRACS_1490,,
227,BRACS_1491,,
228,BRACS_1492,,
229,BRACS_1496,,
230,BRACS_1497,,
231,BRACS_1512,,
232,BRACS_1514,,
233,BRACS_1515,,
234,BRACS_1653,,
235,BRACS_1771,,
236,BRACS_1811,,
237,BRACS_1835,,
238,BRACS_1840,,
239,BRACS_1862,,
240,BRACS_1864,,
241,BRACS_1903,,
242,BRACS_1919,,
243,BRACS_1920,,
244,BRACS_1921,,
245,BRACS_1923,,
246,BRACS_1927,,
247,BRACS_1928,,
248,BRACS_1929,,
249,BRACS_1930,,
250,BRACS_1931,,
251,BRACS_1947,,
252,BRACS_1950,,
253,BRACS_1970,,
254,BRACS_1999,,
255,BRACS_1003697,,
256,BRACS_1283,,
257,BRACS_1473,,
258,BRACS_1474,,
259,BRACS_1476,,
260,BRACS_1597,,
261,BRACS_1867,,
262,BRACS_1872,,
263,BRACS_1878,,
264,BRACS_1897,,
265,BRACS_735,,
266,BRACS_736,,
267,BRACS_1366,,
268,BRACS_1607,,
269,BRACS_1883,,
270,BRACS_1935,,
271,BRACS_3302,,
272,BRACS_1267,,
273,BRACS_1269,,
274,BRACS_1378,,
275,BRACS_1385,,
276,BRACS_1401,,
277,BRACS_1403,,
278,BRACS_1405,,
279,BRACS_1507,,
280,BRACS_1513,,
281,BRACS_1645,,
282,BRACS_1658,,
283,BRACS_1973,,
284,BRACS_1998,,
285,BRACS_3275,,
286,BRACS_3277,,
287,BRACS_3282,,
288,BRACS_3292,,
289,BRACS_1003675,,
290,BRACS_1003713,,
291,BRACS_1003714,,
292,BRACS_1003715,,
293,BRACS_1003716,,
294,BRACS_1579,,
295,BRACS_1598,,
296,BRACS_1820,,
297,BRACS_1855,,
298,BRACS_3322,,
299,BRACS_1261,,
300,BRACS_1584,,
301,BRACS_1614,,
302,BRACS_1974,,
303,BRACS_1978,,
304,BRACS_1379,,
305,BRACS_1486,,
306,BRACS_1494,,
307,BRACS_1499,,
308,BRACS_1616,,
309,BRACS_1622,,
310,BRACS_1794,,
311,BRACS_1795,,
312,BRACS_1808,,
313,BRACS_1863,,
314,BRACS_1882,,
315,BRACS_1899,,
316,BRACS_1911,,
317,BRACS_1912,,
318,BRACS_1915,,
319,BRACS_1922,,
320,BRACS_1925,,
321,BRACS_1932,,
322,BRACS_1933,,
323,BRACS_1934,,
324,BRACS_1969,,
325,BRACS_1987,,
326,BRACS_3318,,
327,BRACS_1003728,,
328,BRACS_1503,,
329,BRACS_1589,,
330,BRACS_1825,,
331,BRACS_1844,,
332,BRACS_1849,,
333,BRACS_1856,,
334,BRACS_1895,,
335,BRACS_1003691,,
336,BRACS_1797,,
337,BRACS_1876,,
338,BRACS_1885,,
339,BRACS_1977,,
340,BRACS_1982,,
341,BRACS_1983,,
342,BRACS_743,,
343,BRACS_1239,,
344,BRACS_1250,,
345,BRACS_1257,,
346,BRACS_1506,,
347,BRACS_1510,,
348,BRACS_1773,,
349,BRACS_1774,,
350,BRACS_1777,,
351,BRACS_1788,,
352,BRACS_1815,,
353,BRACS_1857,,
354,BRACS_1858,,
355,BRACS_1865,,
356,BRACS_1916,,
357,BRACS_1926,,
358,BRACS_1968,,
359,BRACS_1971,,
360,BRACS_300,,
361,BRACS_1813,,
362,BRACS_1814,,
363,BRACS_1936,,
364,BRACS_1937,,
365,BRACS_1944,,
366,BRACS_1954,,
367,BRACS_1955,,
368,BRACS_2007,,
369,BRACS_1610,,
370,BRACS_1799,,
371,BRACS_1886,,
372,BRACS_1975,,
373,BRACS_3266,,
374,BRACS_3285,,
375,BRACS_1244,,
376,BRACS_1270,,
377,BRACS_1326,,
378,BRACS_1335,,
379,BRACS_1409,,
380,BRACS_1495,,
381,BRACS_1498,,
382,BRACS_1581,,
383,BRACS_1594,,
384,BRACS_1596,,
385,BRACS_1604,,
386,BRACS_1606,,
387,BRACS_1617,,
388,BRACS_1618,,
389,BRACS_1621,,
390,BRACS_1642,,
391,BRACS_1782,,
392,BRACS_1783,,
393,BRACS_1785,,
394,BRACS_1786,,
395,BRACS_1789,,
396,BRACS_1793,,
397,BRACS_1836,,
398,BRACS_1837,,
399,BRACS_1873,,
400,BRACS_1881,,
401,BRACS_1914,,
402,BRACS_1918,,
403,BRACS_1946,,
404,BRACS_1949,,
405,BRACS_1957,,
406,BRACS_1958,,
407,BRACS_1963,,
408,BRACS_1993,,
409,BRACS_1995,,
410,BRACS_1996,,
411,BRACS_2005,,
412,BRACS_3278,,
413,BRACS_3310,,
414,BRACS_3313,,
415,BRACS_3317,,
416,BRACS_1003685,,
417,BRACS_1003707,,
418,BRACS_1334,,
419,BRACS_1416,,
420,BRACS_1619,,
421,BRACS_1821,,
422,BRACS_1824,,
423,BRACS_1848,,
424,BRACS_1853,,
425,BRACS_1952,,
426,BRACS_265,,
427,BRACS_1591,,
428,BRACS_1595,,
429,BRACS_1609,,
430,BRACS_1003661,,
