,train,val,test
0,BRACS_745,BRACS_1972,BRACS_1485
1,BRACS_760,BRACS_3270,BRACS_3336
2,BRACS_1240,BRACS_1964,BRACS_1327
3,BRACS_1241,BRACS_1003686,BRACS_758
4,BRACS_1242,BRACS_3281,BRACS_761
5,BRACS_1249,BRACS_1659,BRACS_1003734
6,BRACS_1251,BRACS_1273,BRACS_1890
7,BRACS_1253,BRACS_1370,BRACS_1321
8,BRACS_1255,BRACS_1412,BRACS_1248
9,BRACS_1259,BRACS_1424,BRACS_1986
10,BRACS_1274,BRACS_264,BRACS_1660
11,BRACS_1318,BRACS_1003658,BRACS_1961
12,BRACS_1320,BRACS_3276,BRACS_2002
13,BRACS_1322,BRACS_1483,BRACS_3337
14,BRACS_1324,BRACS_738,BRACS_757
15,BRACS_1325,BRACS_1003727,BRACS_748
16,BRACS_1329,BRACS_1232,BRACS_1798
17,BRACS_1336,BRACS_295,BRACS_1910
18,BRACS_1338,BRACS_1817,BRACS_297
19,BRACS_1408,BRACS_1578,BRACS_1406
20,BRACS_1480,BRACS_1360,BRACS_1265
21,BRACS_1493,BRACS_281,BRACS_759
22,BRACS_1508,BRACS_1003692,BRACS_1810
23,BRACS_1511,BRACS_3323,BRACS_310
24,BRACS_1582,BRACS_1292,BRACS_1362
25,BRACS_1583,BRACS_1648,BRACS_1652
26,BRACS_1603,BRACS_1638,BRACS_1392
27,BRACS_1605,BRACS_1878,BRACS_1367
28,BRACS_1612,BRACS_1888,BRACS_1999
29,BRACS_1620,BRACS_1473,BRACS_1492
30,BRACS_1631,BRACS_1920,BRACS_1897
31,BRACS_1633,BRACS_1597,BRACS_1883
32,BRACS_1634,BRACS_755,BRACS_1653
33,BRACS_1640,BRACS_1601,BRACS_1386
34,BRACS_1655,BRACS_1267,BRACS_1507
35,BRACS_1656,BRACS_1579,BRACS_1974
36,BRACS_1661,BRACS_1261,BRACS_1978
37,BRACS_1664,BRACS_1228,BRACS_1982
38,BRACS_1665,BRACS_3318,BRACS_1932
39,BRACS_1666,BRACS_1899,BRACS_1933
40,BRACS_1668,BRACS_1969,BRACS_1379
41,BRACS_1669,BRACS_1915,BRACS_1494
42,BRACS_1772,BRACS_1003693,BRACS_1971
43,BRACS_1779,BRACS_743,BRACS_1773
44,BRACS_1784,BRACS_1941,BRACS_1937
45,BRACS_1796,BRACS_1774,BRACS_3266
46,BRACS_1832,BRACS_1853,BRACS_3273
47,BRACS_1833,BRACS_1495,BRACS_1791
48,BRACS_1839,BRACS_1498,BRACS_1996
49,BRACS_1841,BRACS_2005,BRACS_1335
50,BRACS_1866,BRACS_3313,BRACS_1594
51,BRACS_1869,BRACS_1621,BRACS_1609
52,BRACS_1879,BRACS_1786,BRACS_1642
53,BRACS_1880,,
54,BRACS_1893,,
55,BRACS_1900,,
56,BRACS_1901,,
57,BRACS_1902,,
58,BRACS_1904,,
59,BRACS_1905,,
60,BRACS_1924,,
61,BRACS_1948,,
62,BRACS_1960,,
63,BRACS_1962,,
64,BRACS_1965,,
65,BRACS_1966,,
66,BRACS_1967,,
67,BRACS_1988,,
68,BRACS_1989,,
69,BRACS_1994,,
70,BRACS_2000,,
71,BRACS_2004,,
72,BRACS_3268,,
73,BRACS_3269,,
74,BRACS_3271,,
75,BRACS_3272,,
76,BRACS_3274,,
77,BRACS_3279,,
78,BRACS_3283,,
79,BRACS_3309,,
80,BRACS_3311,,
81,BRACS_3312,,
82,BRACS_3334,,
83,BRACS_3335,,
84,BRACS_1003659,,
85,BRACS_1003668,,
86,BRACS_1003669,,
87,BRACS_1003671,,
88,BRACS_1003672,,
89,BRACS_1003700,,
90,BRACS_1003706,,
91,BRACS_1003710,,
92,BRACS_1003724,,
93,BRACS_1003725,,
94,BRACS_1003730,,
95,BRACS_1330,,
96,BRACS_1842,,
97,BRACS_1843,,
98,BRACS_1845,,
99,BRACS_1846,,
100,BRACS_1847,,
101,BRACS_1850,,
102,BRACS_1851,,
103,BRACS_1852,,
104,BRACS_1870,,
105,BRACS_1906,,
106,BRACS_1940,,
107,BRACS_1942,,
108,BRACS_3324,,
