,train,val,test
BRACS_745,True,False,False
BRACS_760,True,False,False
BRACS_761,True,False,False
BRACS_1241,True,False,False
BRACS_1242,True,False,False
BRACS_1248,True,False,False
BRACS_1249,True,False,False
BRACS_1251,True,False,False
BRACS_1253,True,False,False
BRACS_1255,True,False,False
BRACS_1259,True,False,False
BRACS_1273,True,False,False
BRACS_1274,True,False,False
BRACS_1320,True,False,False
BRACS_1322,True,False,False
BRACS_1324,True,False,False
BRACS_1327,True,False,False
BRACS_1336,True,False,False
BRACS_1370,True,False,False
BRACS_1408,True,False,False
BRACS_1480,True,False,False
BRACS_1483,True,False,False
BRACS_1485,True,False,False
BRACS_1493,True,False,False
BRACS_1508,True,False,False
BRACS_1511,True,False,False
BRACS_1583,True,False,False
BRACS_1603,True,False,False
BRACS_1612,True,False,False
BRACS_1620,True,False,False
BRACS_1631,True,False,False
BRACS_1633,True,False,False
BRACS_1634,True,False,False
BRACS_1640,True,False,False
BRACS_1655,True,False,False
BRACS_1660,True,False,False
BRACS_1661,True,False,False
BRACS_1664,True,False,False
BRACS_1665,True,False,False
BRACS_1666,True,False,False
BRACS_1668,True,False,False
BRACS_1779,True,False,False
BRACS_1784,True,False,False
BRACS_1796,True,False,False
BRACS_1832,True,False,False
BRACS_1833,True,False,False
BRACS_1839,True,False,False
BRACS_1841,True,False,False
BRACS_1866,True,False,False
BRACS_1869,True,False,False
BRACS_1879,True,False,False
BRACS_1890,True,False,False
BRACS_1893,True,False,False
BRACS_1900,True,False,False
BRACS_1901,True,False,False
BRACS_1902,True,False,False
BRACS_1904,True,False,False
BRACS_1905,True,False,False
BRACS_1924,True,False,False
BRACS_1948,True,False,False
BRACS_1960,True,False,False
BRACS_1961,True,False,False
BRACS_1962,True,False,False
BRACS_1964,True,False,False
BRACS_1965,True,False,False
BRACS_1966,True,False,False
BRACS_1967,True,False,False
BRACS_1972,True,False,False
BRACS_1986,True,False,False
BRACS_1988,True,False,False
BRACS_1989,True,False,False
BRACS_1994,True,False,False
BRACS_2000,True,False,False
BRACS_2002,True,False,False
BRACS_3268,True,False,False
BRACS_3269,True,False,False
BRACS_3270,True,False,False
BRACS_3271,True,False,False
BRACS_3272,True,False,False
BRACS_3274,True,False,False
BRACS_3279,True,False,False
BRACS_3281,True,False,False
BRACS_3283,True,False,False
BRACS_3311,True,False,False
BRACS_3312,True,False,False
BRACS_3335,True,False,False
BRACS_3336,True,False,False
BRACS_1003658,True,False,False
BRACS_1003659,True,False,False
BRACS_1003668,True,False,False
BRACS_1003669,True,False,False
BRACS_1003671,True,False,False
BRACS_1003672,True,False,False
BRACS_1003686,True,False,False
BRACS_1003700,True,False,False
BRACS_1003706,True,False,False
BRACS_1003710,True,False,False
BRACS_1003724,True,False,False
BRACS_1003725,True,False,False
BRACS_1003730,True,False,False
BRACS_1003734,True,False,False
BRACS_1842,True,False,False
BRACS_1843,True,False,False
BRACS_1845,True,False,False
BRACS_1847,True,False,False
BRACS_1850,True,False,False
BRACS_1851,True,False,False
BRACS_1852,True,False,False
BRACS_1906,True,False,False
BRACS_3324,True,False,False
BRACS_1275,True,False,False
BRACS_1276,True,False,False
BRACS_1423,True,False,False
BRACS_1424,True,False,False
BRACS_1980,True,False,False
BRACS_3295,True,False,False
BRACS_3296,True,False,False
BRACS_280,True,False,False
BRACS_288,True,False,False
BRACS_297,True,False,False
BRACS_298,True,False,False
BRACS_311,True,False,False
BRACS_734,True,False,False
BRACS_747,True,False,False
BRACS_749,True,False,False
BRACS_750,True,False,False
BRACS_753,True,False,False
BRACS_754,True,False,False
BRACS_756,True,False,False
BRACS_757,True,False,False
BRACS_759,True,False,False
BRACS_773,True,False,False
BRACS_1231,True,False,False
BRACS_1232,True,False,False
BRACS_1233,True,False,False
BRACS_1235,True,False,False
BRACS_1263,True,False,False
BRACS_1265,True,False,False
BRACS_1272,True,False,False
BRACS_1277,True,False,False
BRACS_1287,True,False,False
BRACS_1288,True,False,False
BRACS_1289,True,False,False
BRACS_1292,True,False,False
BRACS_1293,True,False,False
BRACS_1356,True,False,False
BRACS_1357,True,False,False
BRACS_1358,True,False,False
BRACS_1360,True,False,False
BRACS_1406,True,False,False
BRACS_1477,True,False,False
BRACS_1478,True,False,False
BRACS_1487,True,False,False
BRACS_1516,True,False,False
BRACS_1635,True,False,False
BRACS_1636,True,False,False
BRACS_1637,True,False,False
BRACS_1639,True,False,False
BRACS_1643,True,False,False
BRACS_1646,True,False,False
BRACS_1649,True,False,False
BRACS_1650,True,False,False
BRACS_1652,True,False,False
BRACS_1654,True,False,False
BRACS_1810,True,False,False
BRACS_1812,True,False,False
BRACS_1827,True,False,False
BRACS_1828,True,False,False
BRACS_1829,True,False,False
BRACS_1830,True,False,False
BRACS_1875,True,False,False
BRACS_1984,True,False,False
BRACS_3293,True,False,False
BRACS_3305,True,False,False
BRACS_3308,True,False,False
BRACS_3315,True,False,False
BRACS_3316,True,False,False
BRACS_3319,True,False,False
BRACS_3320,True,False,False
BRACS_3321,True,False,False
BRACS_1003667,True,False,False
BRACS_1003670,True,False,False
BRACS_1003673,True,False,False
BRACS_1003678,True,False,False
BRACS_1003684,True,False,False
BRACS_1003703,True,False,False
BRACS_1003708,True,False,False
BRACS_1003709,True,False,False
BRACS_1003721,True,False,False
BRACS_1003722,True,False,False
BRACS_1003723,True,False,False
BRACS_1003727,True,False,False
BRACS_1003731,True,False,False
BRACS_1003732,True,False,False
BRACS_286,True,False,False
BRACS_292,True,False,False
BRACS_301,True,False,False
BRACS_305,True,False,False
BRACS_310,True,False,False
BRACS_1284,True,False,False
BRACS_1286,True,False,False
BRACS_1411,True,False,False
BRACS_1413,True,False,False
BRACS_1414,True,False,False
