,train,val,test
0,normal_003,normal_140,normal_136
1,test_003,normal_072,normal_158
2,normal_005,test_072,normal_070
3,test_005,normal_092,test_070
4,normal_006,test_091,normal_078
5,test_006,normal_132,test_078
6,normal_007,normal_115,normal_067
7,test_007,test_115,test_067
8,normal_012,normal_152,normal_124
9,test_012,normal_148,test_125
10,normal_014,normal_096,normal_159
11,test_014,test_095,normal_032
12,normal_015,normal_056,test_032
13,test_015,test_056,normal_144
14,normal_017,normal_059,normal_113
15,test_017,test_059,test_112
16,normal_018,normal_108,normal_009
17,test_018,test_107,test_009
18,normal_019,normal_106,tumor_105
19,test_019,test_105,tumor_072
20,normal_020,tumor_075,tumor_109
21,test_020,tumor_014,tumor_098
22,normal_022,tumor_056,normal_068
23,test_022,tumor_055,test_068
24,normal_023,tumor_101,tumor_043
25,test_023,tumor_050,tumor_040
26,normal_024,tumor_031,tumor_007
27,test_024,tumor_057,tumor_107
28,normal_025,normal_011,tumor_011
29,test_025,test_011,tumor_027
30,normal_028,tumor_084,tumor_041
31,test_028,normal_016,tumor_005
32,normal_031,test_016,tumor_077
33,test_031,tumor_008,tumor_063
34,normal_034,tumor_015,normal_001
35,test_034,tumor_013,test_001
36,normal_035,tumor_085,
37,test_035,,
38,normal_036,,
39,test_036,,
40,normal_037,,
41,test_037,,
42,normal_039,,
43,test_039,,
44,normal_041,,
45,test_041,,
46,normal_042,,
47,test_042,,
48,normal_043,,
49,test_043,,
50,normal_044,,
51,test_044,,
52,normal_045,,
53,test_045,,
54,normal_047,,
55,test_047,,
56,normal_049,,
57,normal_050,,
58,test_050,,
59,normal_053,,
60,test_053,,
61,normal_054,,
62,test_054,,
63,normal_055,,
64,test_055,,
65,normal_057,,
66,test_057,,
67,normal_058,,
68,test_058,,
69,normal_060,,
70,test_060,,
71,normal_062,,
72,test_062,,
73,normal_063,,
74,test_063,,
75,normal_076,,
76,test_076,,
77,normal_077,,
78,test_077,,
79,normal_080,,
80,test_080,,
81,normal_081,,
82,test_081,,
83,normal_083,,
84,test_083,,
85,normal_085,,
86,test_085,,
87,normal_087,,
88,test_086,,
89,normal_088,,
90,test_087,,
91,normal_089,,
92,test_088,,
93,normal_090,,
94,test_089,,
95,normal_094,,
96,test_093,,
97,normal_097,,
98,test_096,,
99,normal_099,,
100,test_098,,
101,normal_101,,
102,test_100,,
103,normal_102,,
104,test_101,,
105,normal_104,,
106,test_103,,
107,normal_107,,
108,test_106,,
109,normal_110,,
110,test_109,,
111,normal_112,,
112,test_111,,
113,normal_118,,
114,test_118,,
115,normal_119,,
116,test_119,,
117,normal_120,,
118,test_120,,
119,normal_123,,
120,test_123,,
121,normal_125,,
122,test_126,,
123,normal_126,,
124,test_127,,
125,normal_127,,
126,test_128,,
127,normal_128,,
128,test_129,,
129,normal_129,,
130,test_130,,
131,normal_130,,
132,normal_131,,
133,normal_133,,
134,normal_134,,
135,normal_135,,
136,normal_137,,
137,normal_138,,
138,normal_139,,
139,normal_141,,
140,normal_142,,
141,normal_143,,
142,normal_145,,
143,normal_146,,
144,normal_147,,
145,normal_149,,
146,normal_150,,
147,normal_151,,
148,normal_153,,
149,normal_154,,
150,normal_155,,
151,normal_156,,
152,normal_157,,
153,normal_160,,
154,normal_002,,
155,test_002,,
156,normal_004,,
157,test_004,,
158,normal_008,,
159,test_008,,
160,normal_010,,
161,test_010,,
162,normal_013,,
163,test_013,,
164,normal_021,,
165,test_021,,
166,normal_026,,
167,test_026,,
168,test_027,,
169,normal_029,,
170,test_029,,
171,normal_030,,
172,test_030,,
173,normal_033,,
174,test_033,,
175,normal_038,,
176,test_038,,
177,normal_040,,
178,test_040,,
179,normal_046,,
180,test_046,,
181,normal_048,,
182,test_048,,
183,normal_051,,
184,test_051,,
185,normal_052,,
186,test_052,,
187,normal_061,,
188,test_061,,
189,normal_064,,
190,test_064,,
191,normal_065,,
192,test_065,,
193,normal_066,,
194,test_066,,
195,normal_069,,
196,test_069,,
197,normal_071,,
198,test_071,,
199,normal_073,,
200,test_073,,
201,normal_074,,
202,test_074,,
203,normal_075,,
204,test_075,,
205,normal_079,,
206,test_079,,
207,normal_082,,
208,test_082,,
209,normal_084,,
210,test_084,,
211,normal_091,,
212,test_090,,
213,normal_093,,
214,test_092,,
215,normal_095,,
216,test_094,,
217,normal_098,,
218,test_097,,
219,normal_100,,
220,test_099,,
221,normal_103,,
222,test_102,,
223,normal_105,,
224,test_104,,
225,normal_109,,
226,test_108,,
227,normal_111,,
228,test_110,,
229,normal_114,,
230,test_113,,
231,normal_116,,
232,test_116,,
233,normal_117,,
234,test_117,,
235,normal_121,,
236,test_121,,
237,normal_122,,
238,test_122,,
239,tumor_001,,
240,tumor_002,,
241,tumor_003,,
242,tumor_004,,
243,tumor_006,,
244,tumor_009,,
245,tumor_010,,
246,tumor_012,,
247,tumor_016,,
248,tumor_017,,
249,tumor_018,,
250,tumor_019,,
251,tumor_020,,
252,tumor_021,,
253,tumor_022,,
254,tumor_023,,
255,tumor_024,,
256,tumor_025,,
257,tumor_026,,
258,tumor_028,,
259,tumor_029,,
260,tumor_030,,
261,tumor_032,,
262,tumor_033,,
263,tumor_034,,
264,tumor_035,,
265,tumor_036,,
266,tumor_037,,
267,tumor_038,,
268,tumor_039,,
269,tumor_042,,
270,tumor_044,,
271,tumor_045,,
272,tumor_046,,
273,tumor_047,,
274,tumor_048,,
275,tumor_049,,
276,tumor_051,,
277,tumor_052,,
278,tumor_053,,
279,tumor_054,,
280,tumor_058,,
281,tumor_059,,
282,tumor_060,,
283,tumor_061,,
284,tumor_062,,
285,tumor_064,,
286,tumor_065,,
287,tumor_066,,
288,tumor_067,,
289,tumor_068,,
290,tumor_069,,
291,tumor_070,,
292,tumor_071,,
293,tumor_073,,
294,tumor_074,,
295,tumor_076,,
296,tumor_078,,
297,tumor_079,,
298,tumor_080,,
299,tumor_081,,
300,tumor_082,,
301,tumor_083,,
302,tumor_086,,
303,tumor_087,,
304,tumor_088,,
305,tumor_089,,
306,tumor_090,,
307,tumor_091,,
308,tumor_092,,
309,tumor_093,,
310,tumor_094,,
311,tumor_095,,
312,tumor_096,,
313,tumor_097,,
314,tumor_099,,
315,tumor_100,,
316,tumor_102,,
317,tumor_103,,
318,tumor_104,,
319,tumor_106,,
320,tumor_108,,
321,tumor_110,,
322,tumor_111,,
